iteration,validation_average_precision,validation_auc,validation_binary_logloss
1,0.2944453704859786,0.840659585791361,0.14019920186419546
2,0.3441771061992282,0.8551070713991001,0.13847634861884597
3,0.36480330684127593,0.8600431068583247,0.13899963814105815
4,0.3897137822977346,0.8650977101778221,0.14074818356652763
5,0.3977084364207338,0.8691397971969047,0.14283709930474917
6,0.40427733453223924,0.8719820804639066,0.14514198686955523
7,0.4054593365245237,0.8746320899151322,0.14839932010290516
8,0.4115336551733976,0.8771677703959605,0.151298645436287
9,0.4151148559961113,0.8791994437961594,0.15420551925275577
10,0.4220987811571837,0.8799711830812355,0.15771770805928811
11,0.42406763941421527,0.8812272933564437,0.16093544887412123
12,0.4251910017990641,0.8822986718116874,0.16422682206301914
13,0.42610407936055444,0.8832162281398662,0.16743401790383372
14,0.42786839576236624,0.8845734837846398,0.17085805597958253
15,0.43001656324369364,0.8855789096482276,0.1742388954848112
16,0.4306005945547869,0.8859273383255696,0.17780498284234733
17,0.4310021853157688,0.8866735558811238,0.18105117120927042
18,0.43218334245674545,0.8869934133646502,0.18442060916811784
19,0.43228927907184556,0.8878482702473919,0.18778108708504898
20,0.43264079934525046,0.8882616215775989,0.191173288976824
21,0.4342957356765833,0.8890520457970124,0.19447517114615862
22,0.4340011502721543,0.8894845720510937,0.1975338130187388
23,0.43368735395444025,0.890021346941807,0.20052158374346982
24,0.43407797216236965,0.8907407399721297,0.20335650029058272
25,0.4346042188177654,0.8912303144589901,0.20629503680262307
26,0.43674722962318224,0.8915973646602591,0.20942492847056685
27,0.43733623145114653,0.89221991654283,0.2123706326505316
28,0.43976685654602976,0.8926452101670423,0.2153751301962796
29,0.44035909884140967,0.8926105727106081,0.21805343160000798
30,0.44184090223318434,0.8930416443682997,0.22063417511163838
31,0.4423322067586528,0.8932797043436185,0.22345719705771824
32,0.44307624408491064,0.8936257541697975,0.22583067886622654
33,0.44330223970874183,0.893905791836965,0.22857646014926453
34,0.44462150798567834,0.8941996894826778,0.2310268740539313
35,0.44498746581245496,0.8945063729730103,0.2337153155832004
36,0.444906480034446,0.8945500454521981,0.23623503684298752
37,0.4450171120395141,0.8945885278853507,0.23905743240739327
38,0.4459338381056013,0.8948231656200221,0.24120978194546566
39,0.4468895501293194,0.8951445218950729,0.24340470791775184
40,0.44722019677657765,0.8954643082820783,0.24547132186294873
41,0.44887943060723695,0.8958108730776528,0.24757226486378514
42,0.44942610975161024,0.895833852626166,0.2502268447780803
43,0.44947138819979227,0.8959659941573724,0.25244330223324557
44,0.44934670888402295,0.896039851913556,0.2545530344080071
45,0.4498655971033576,0.8965770149528435,0.2565483911414848
46,0.4501232829467293,0.8967558841921144,0.25818551393344663
47,0.4504678281550199,0.8970682265812152,0.2599497622222767
48,0.45083131361697865,0.8972906088128834,0.2621979108081388
49,0.4510880283758004,0.8975807806165889,0.263834892585766
50,0.4516652156167719,0.897642221461451,0.26582374388392005
51,0.45176535768824827,0.8977935494456973,0.2672649252951023
52,0.453151191275514,0.8980578305865826,0.26872137644667415
53,0.4535815348892295,0.8982035342595572,0.2703952350988312
54,0.4534179650448181,0.8981788426299567,0.2719978840298005
55,0.45440533277038037,0.8985102907679384,0.273392735991849
56,0.45554526707327364,0.898720665373663,0.2747779263074909
57,0.45668428729038085,0.8989104930848103,0.2760848056319603
58,0.45685481237922804,0.8990534355226304,0.2773502198281776
59,0.45687018230978776,0.899147765233815,0.2785333247496504
60,0.4572360695605304,0.8991160754007121,0.2799174291538732
61,0.4563662621085685,0.8994033745206624,0.2811828975750061
62,0.45663680768795856,0.899587535646931,0.2822378172330892
63,0.4571022010944371,0.8997578002856297,0.28325243488692264
64,0.45764781355452494,0.8999934641160371,0.2839853598345802
65,0.4581646761600676,0.9001193011152031,0.2848947979948022
66,0.45824370585906554,0.9001845965444216,0.28630975139875775
67,0.4583639995516864,0.9002942504381793,0.2873223730787707
68,0.4588501897855335,0.9005186003141052,0.28836411505946574
69,0.4586843661281339,0.9006099343637687,0.2890781253410721
70,0.4591603236636585,0.9009988553921281,0.290110421345461
71,0.4597718083612556,0.9012252344011946,0.29107649339251657
72,0.45981728090454427,0.9013289507746827,0.29216458794911904
73,0.4607409342346468,0.9017640307389383,0.2926589896764638
74,0.46087883057173473,0.9018733118563426,0.2932018116926603
75,0.46135239120296695,0.9021031342428599,0.29395957520368643
76,0.4615182257295404,0.9022688621549061,0.2947286740637317
77,0.4616049322345829,0.9023706570007988,0.2953060643303092
78,0.4622819459564088,0.9026996571126239,0.2958080397339451
79,0.4623878859210947,0.9029035388766038,0.29640782233029517
80,0.46292847373607726,0.9030628911600884,0.29671759422771177
81,0.46301830079135065,0.903364255862037,0.29732769989268343
82,0.4640646329211302,0.9035869493811755,0.29808658093541524
83,0.464477434262816,0.9036995470552094,0.2990659865291028
84,0.46527915335185294,0.9039711127072088,0.29960352824109393
85,0.46581866730621313,0.9040987982159215,0.2998296806839567
86,0.46591173562657995,0.9042366140181172,0.3005147820401184
87,0.465479832282895,0.9041749233746676,0.3014893101696525
88,0.4658565909476986,0.9043652468399345,0.3023953757901743
89,0.46544070314652686,0.904362898733213,0.30278050310225885
